                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     85,               0.040878,                0.01128,              0.0087688,              0.0014341,                0.55518,                0.62667,                0.52023,                0.22657,                0.52128,                0.52271,                0.49045,                0.18709,               0.047087,               0.012319,              0.0073481,              0.0011705,               0.005842,               0.005842,               0.005842
                     86,               0.048121,               0.017338,               0.011898,              0.0012713,                 0.6189,                0.62667,                0.59766,                  0.342,                0.61379,                   0.64,                0.59693,                0.24092,               0.040328,               0.011451,              0.0067577,              0.0011838,              0.0057925,              0.0057925,              0.0057925
                     87,               0.042253,               0.017109,               0.011538,              0.0014064,                0.58186,                0.65333,                0.61808,                0.32205,                0.59745,                    0.6,                0.58358,                0.22685,               0.039443,               0.011188,              0.0066137,              0.0011611,               0.005743,               0.005743,               0.005743
                     88,               0.039163,               0.017245,               0.010575,              0.0013486,                0.58595,                0.66667,                0.60439,                0.33563,                0.57423,                0.65333,                0.60999,                0.25435,               0.040253,                0.01065,              0.0067143,              0.0011292,              0.0056935,              0.0056935,              0.0056935
                     89,               0.039986,               0.015808,               0.010562,              0.0011976,                0.55512,                0.64888,                0.61322,                0.32697,                0.52177,                0.61333,                0.52774,                0.20354,               0.041725,               0.010565,              0.0065217,              0.0011152,               0.005644,               0.005644,               0.005644
                     90,               0.044369,               0.018478,               0.011137,               0.001171,                0.60923,                0.68601,                0.63928,                0.37323,                0.56855,                0.78667,                0.66077,                0.31243,               0.036355,              0.0099876,              0.0064945,              0.0010785,              0.0055945,              0.0055945,              0.0055945
                     91,               0.039197,               0.015882,              0.0098533,              0.0010688,                0.63553,                0.70667,                0.68024,                 0.3648,                0.61028,                   0.68,                0.64393,                0.27051,               0.040106,              0.0093637,              0.0061221,              0.0010869,               0.005545,               0.005545,               0.005545
                     92,                0.04186,               0.014335,              0.0099242,              0.0011321,                0.63718,                0.69333,                 0.6403,                0.33325,                0.64487,                0.65372,                0.65588,                0.27608,               0.039115,              0.0098241,              0.0063672,              0.0010982,              0.0054955,              0.0054955,              0.0054955
                     93,               0.044042,               0.014197,               0.011154,              0.0012162,                0.56009,                   0.64,                 0.5601,                0.26572,                0.52984,                0.58601,                0.49475,                0.16472,               0.045369,               0.012906,              0.0067568,              0.0014368,               0.005446,               0.005446,               0.005446
                     94,               0.038862,               0.012242,              0.0092274,              0.0012341,                0.60935,                0.72796,                0.62814,                0.35633,                0.59317,                 0.6999,                0.59072,                0.23671,               0.038977,               0.011736,              0.0068951,              0.0012285,              0.0053965,              0.0053965,              0.0053965
                     95,               0.041212,               0.014304,               0.010055,              0.0011461,                0.66644,                0.71928,                 0.7066,                0.42941,                 0.6394,                0.68565,                0.66925,                0.29024,               0.035746,               0.010073,                0.00633,              0.0011206,               0.005347,               0.005347,               0.005347
                     96,               0.040281,               0.014969,               0.010952,              0.0012474,                 0.6354,                0.76684,                 0.7105,                0.41978,                 0.5896,                   0.68,                0.64126,                0.31254,               0.034238,               0.010204,              0.0063362,              0.0010747,              0.0052975,              0.0052975,              0.0052975
